temperature,humidity,winp,weather,shebei2_huilu1,shebei3_huilu1,shebei4_huilu1,shebei1_huilu2,shebei3_huilu1,shebei4_huilu1,shebei5_huilu1,shebei5_huilu2
18℃,100%,2级,阴,19,43,24,84,43,24,467,403
18℃,100%,2级,多云,19,43,24,84,43,24,467,403
18℃,100%,3级,多云,16,43,24,79,43,24,480,385
18℃,100%,2级,多云,17,43,24,80,43,24,480,378
18℃,100%,2级,雨,17,43,24,80,43,24,480,378
18℃,100%,2级,多云,17,43,24,80,43,24,479,360
18℃,100%,1级,多云,17,43,24,78,43,24,477,365
18℃,100%,1级,阴,17,43,24,78,43,24,477,365
18℃,100%,2级,阴,17,45,25,75,45,25,482,330
17℃,100%,0级,雨,17,45,25,75,45,25,482,330
17℃,100%,0级,雾,16,44,24,74,44,24,481,347
17℃,100%,0级,雨,16,45,25,74,45,25,312,361
17℃,100%,2级,雨,16,45,25,76,45,25,312,361
18℃,100%,0级,雨,17,45,25,75,45,25,313,578
18℃,100%,0级,雾,17,46,24,74,46,24,306,587
18℃,100%,0级,雾,17,46,24,74,46,24,306,587
18℃,100%,2级,雾,17,44,24,75,44,24,313,530
17℃,100%,2级,阴,16,45,25,76,45,25,314,500
17℃,100%,1级,阴,16,45,25,76,45,25,314,500
17℃,100%,1级,雨,16,45,25,75,45,25,313,488
17℃,100%,2级,雨,16,45,25,75,45,25,313,488
17℃,100%,2级,雨,0,0,0,0,0,0,0,0
17℃,100%,2级,阴,0,0,0,0,0,0,0,0
17℃,100%,0级,阴,0,0,0,0,0,0,0,0
17℃,100%,0级,雨,0,0,0,0,0,0,0,0
17℃,100%,2级,雨,0,0,0,0,0,0,0,0
18℃,100%,0级,雨,0,0,0,0,0,0,0,0
18℃,100%,0级,雨,0,0,0,0,0,0,0,0
18℃,100%,0级,阴,0,0,0,0,0,0,0,0
18℃,100%,1级,阴,0,0,0,0,0,0,0,0
18℃,100%,0级,阴,0,0,0,0,0,0,0,0
19℃,100%,0级,阴,0,0,0,0,0,0,0,0
21℃,87%,1级,阴,0,0,0,0,0,0,0,0
22℃,80%,0级,阴,0,0,0,0,0,0,0,0
21℃,81%,0级,阴,0,0,0,0,0,0,0,0
22℃,81%,1级,阴,0,0,0,0,0,0,0,0
22℃,81%,1级,阴,0,0,0,0,0,0,0,0
23℃,75%,1级,阴,0,0,0,0,0,0,0,0
24℃,76%,0级,阴,0,0,0,0,0,0,0,0
23℃,75%,0级,阴,0,0,0,0,0,0,0,0
23℃,76%,1级,阴,0,0,0,0,0,0,0,0
23℃,78%,0级,多云,0,0,0,0,0,0,0,0
22℃,79%,0级,多云,0,0,0,0,0,0,0,0
22℃,80%,0级,多云,0,0,0,0,0,0,0,0
22℃,81%,0级,多云,0,0,0,0,0,0,0,0
22℃,82%,0级,多云,20,46,23,100,46,23,404,840
22℃,86%,0级,多云,17,46,23,88,46,23,423,471
21℃,88%,1级,晴,17,46,23,88,46,23,423,471
21℃,91%,0级,晴,19,0,23,89,0,23,434,469
21℃,90%,0级,晴,17,46,23,84,46,23,439,451
21℃,89%,0级,晴,17,46,23,84,46,23,439,451
21℃,93%,0级,晴,17,45,23,88,45,23,456,444
20℃,94%,1级,晴,16,46,23,87,46,23,465,440
20℃,98%,0级,多云,16,46,23,87,46,23,465,440
20℃,98%,2级,多云,17,46,24,80,46,24,477,443
20℃,96%,0级,多云,17,46,24,80,46,24,477,443
20℃,99%,1级,多云,17,48,23,81,48,23,473,435
20℃,100%,0级,多云,17,47,24,80,47,24,311,431
20℃,100%,0级,多云,17,47,24,80,47,24,311,431
20℃,100%,0级,多云,16,48,24,81,48,24,299,430
19℃,100%,1级,多云,16,49,24,81,49,24,309,440
19℃,100%,0级,多云,16,49,24,81,49,24,309,440
19℃,100%,0级,多云,16,50,23,81,50,23,308,425
19℃,100%,0级,多云,17,50,23,82,50,23,310,439
19℃,100%,0级,多云,17,50,23,82,50,23,310,439
19℃,100%,0级,多云,16,49,24,80,49,24,310,421
19℃,100%,1级,晴,0,0,24,0,0,24,0,0
19℃,100%,2级,晴,0,0,0,0,0,0,0,0
19℃,100%,0级,晴,0,0,0,0,0,0,0,0
19℃,100%,1级,晴,0,0,0,0,0,0,0,0
19℃,100%,1级,晴,0,0,0,0,0,0,0,0
20℃,100%,1级,晴,0,0,0,0,0,0,0,0
21℃,89%,2级,晴,0,0,0,0,0,0,0,0
22℃,85%,1级,晴,0,0,0,0,0,0,0,0
22℃,85%,1级,晴,0,0,0,0,0,0,0,0
23℃,81%,2级,晴,0,0,0,0,0,0,0,0
23℃,83%,2级,多云,0,0,0,0,0,0,0,0
24℃,77%,2级,多云,0,0,0,0,0,0,0,0
25℃,76%,2级,多云,0,0,0,0,0,0,0,0
26℃,74%,3级,多云,0,0,0,0,0,0,0,0
24℃,81%,2级,多云,0,0,0,0,0,0,0,0
24℃,85%,2级,多云,0,0,0,0,0,0,0,0
23℃,92%,2级,多云,0,0,0,0,0,0,0,0
23℃,94%,1级,阴,0,0,0,0,0,0,0,0
23℃,96%,2级,阴,0,0,0,0,0,0,0,0
22℃,100%,1级,雾,0,0,0,0,0,0,0,0
22℃,100%,1级,雾,0,0,0,0,0,0,0,0
22℃,100%,2级,雾,0,0,0,0,0,0,0,0
22℃,100%,2级,雾,0,0,0,0,0,0,0,0
22℃,100%,2级,雾,0,0,0,0,0,0,0,0
22℃,100%,2级,雨,0,0,0,0,0,0,0,0
22℃,100%,3级,雾,19,46,25,85,46,25,465,521
21℃,100%,3级,雨,17,44,25,85,44,25,463,436
21℃,100%,3级,雾,17,44,25,85,44,25,463,436
22℃,100%,3级,雾,17,45,25,82,45,25,458,447
22℃,100%,3级,雾,17,45,25,80,45,25,476,441
22℃,100%,2级,雾,17,45,25,80,45,25,476,441
22℃,100%,2级,雾,17,45,25,80,45,25,472,431
22℃,100%,2级,雾,17,46,25,82,46,25,468,429
22℃,100%,3级,雾,17,46,25,82,46,25,468,429
22℃,100%,2级,雾,18,46,24,75,46,24,476,419
22℃,100%,2级,雾,18,46,24,75,46,24,476,413
22℃,100%,3级,雾,17,46,23,76,46,23,477,413
22℃,100%,2级,雾,17,46,25,75,46,25,331,408
22℃,100%,2级,雾,16,46,25,75,46,25,331,408
23℃,100%,2级,雾,17,46,25,77,46,25,311,412
23℃,100%,3级,雾,17,47,24,77,47,24,300,423
23℃,100%,4级,雾,17,47,24,77,47,24,300,423
23℃,100%,4级,雾,17,46,25,77,46,25,311,416
23℃,100%,4级,雾,16,47,24,76,47,24,309,394
23℃,100%,3级,雾,16,47,24,76,47,24,309,394
23℃,100%,2级,雾,16,47,24,76,47,24,310,391
23℃,100%,2级,雾,0,0,0,0,0,0,0,0
23℃,100%,2级,雾,0,0,0,0,0,0,0,0
23℃,100%,3级,雾,0,0,0,0,0,0,0,0
23℃,100%,3级,雾,0,0,0,0,0,0,0,0
23℃,100%,2级,雾,0,0,0,0,0,0,0,0
24℃,100%,2级,多云,0,0,0,0,0,0,0,0
24℃,100%,4级,阴,0,0,0,0,0,0,0,0
25℃,100%,4级,阴,0,0,0,0,0,0,0,0
25℃,100%,2级,阴,0,0,0,0,0,0,0,0
26℃,99%,4级,阴,0,0,0,0,0,0,0,0
26℃,97%,4级,阴,0,0,0,0,0,0,0,0
26℃,97%,4级,阴,0,0,0,0,0,0,0,0
28℃,91%,4级,阴,0,0,0,0,0,0,0,0
28℃,93%,3级,阴,0,0,0,0,0,0,0,0
28℃,89%,3级,阴,0,0,0,0,0,0,0,0
28℃,92%,1级,阴,0,0,0,0,0,0,0,0
29℃,87%,4级,阴,0,0,0,0,0,0,0,0
29℃,86%,4级,阴,0,0,0,0,0,0,0,0
30℃,81%,4级,阴,0,0,0,0,0,0,0,0
30℃,84%,2级,阴,0,0,0,0,0,0,0,0
29℃,84%,3级,阴,0,0,0,0,0,0,0,0
29℃,84%,3级,阴,0,0,0,0,0,0,0,0
29℃,86%,5级,阴,0,0,0,0,0,0,0,0
29℃,85%,4级,阴,0,0,0,0,0,0,0,0
28℃,87%,4级,多云,0,0,0,0,0,0,0,0
28℃,91%,3级,多云,0,0,0,0,0,0,0,0
27℃,94%,3级,多云,20,48,25,88,48,25,502,918
27℃,85%,1级,多云,20,46,25,79,46,25,466,457
26℃,98%,3级,多云,19,46,25,79,46,25,466,457
26℃,99%,2级,多云,18,46,25,73,46,25,463,429
26℃,100%,3级,晴,17,46,25,79,46,25,461,426
26℃,100%,3级,晴,17,46,25,79,46,25,461,426
26℃,100%,2级,晴,19,45,24,77,45,24,461,432
25℃,100%,2级,晴,18,45,24,76,45,24,475,428
25℃,100%,2级,晴,18,45,25,76,45,25,475,428
25℃,100%,3级,晴,17,46,25,73,46,25,484,422
25℃,100%,3级,晴,17,46,25,73,46,25,484,422
25℃,100%,2级,晴,17,46,25,74,46,25,489,417
25℃,100%,2级,晴,17,46,25,74,46,25,312,410
25℃,100%,2级,晴,18,46,25,74,46,25,312,410
25℃,100%,2级,晴,18,45,24,75,45,24,309,413
25℃,100%,2级,晴,17,47,24,76,47,24,306,402
25℃,100%,2级,晴,17,47,24,76,47,24,306,402
24℃,100%,2级,多云,17,47,24,76,47,24,306,402
24℃,100%,2级,多云,17,47,25,77,47,25,310,379
24℃,100%,2级,多云,17,46,24,74,46,24,313,371
24℃,100%,1级,多云,16,47,25,74,47,25,308,390
24℃,100%,2级,多云,0,0,25,0,0,25,0,0
24℃,100%,2级,多云,0,0,0,0,0,0,0,0
24℃,100%,2级,多云,0,0,0,0,0,0,0,0
25℃,100%,2级,多云,0,0,0,0,0,0,0,0
25℃,99%,2级,多云,0,0,0,0,0,0,0,0
26℃,96%,1级,多云,0,0,0,0,0,0,0,0
27℃,91%,1级,多云,0,0,0,0,0,0,0,0
29℃,91%,2级,多云,0,0,0,0,0,0,0,0
30℃,78%,2级,多云,0,0,0,0,0,0,0,0
31℃,79%,2级,多云,0,0,0,0,0,0,0,0
31℃,75%,2级,多云,0,0,0,0,0,0,0,0
32℃,73%,2级,多云,0,0,0,0,0,0,0,0
31℃,77%,2级,多云,0,0,0,0,0,0,0,0
32℃,71%,2级,多云,0,0,0,0,0,0,0,0
32℃,76%,2级,多云,0,0,0,0,0,0,0,0
32℃,73%,3级,多云,0,0,0,0,0,0,0,0
33℃,70%,2级,多云,0,0,0,0,0,0,0,0
32℃,69%,3级,多云,0,0,0,0,0,0,0,0
32℃,73%,2级,多云,0,0,0,0,0,0,0,0
32℃,72%,2级,多云,0,0,0,0,0,0,0,0
32℃,68%,3级,多云,0,0,0,0,0,0,0,0
32℃,69%,3级,多云,0,0,0,0,0,0,0,0
32℃,70%,2级,多云,0,0,0,0,0,0,0,0
31℃,76%,3级,多云,0,0,0,0,0,0,0,0
30℃,79%,3级,多云,0,0,0,0,0,0,0,0
30℃,83%,2级,多云,0,0,0,0,0,0,0,0
28℃,88%,3级,多云,21,50,24,90,50,24,511,825
28℃,92%,3级,多云,18,50,25,81,50,25,459,450
27℃,95%,4级,晴,18,48,25,81,48,25,459,450
27℃,96%,3级,晴,17,46,25,72,46,25,453,420
26℃,96%,3级,晴,16,46,25,72,46,25,450,413
26℃,97%,3级,晴,16,46,25,72,46,25,450,413
26℃,98%,2级,晴,16,46,25,71,46,25,470,419
26℃,97%,3级,晴,17,46,25,72,46,25,468,407
26℃,98%,3级,多云,17,46,26,72,46,26,468,407
26℃,98%,2级,多云,15,46,25,74,46,25,474,419
26℃,99%,3级,多云,15,47,25,74,47,25,474,419
26℃,100%,3级,多云,16,47,25,75,47,25,471,402
25℃,100%,3级,多云,16,47,25,69,47,25,306,398
25℃,100%,3级,多云,16,49,25,69,49,25,306,398
25℃,100%,3级,多云,16,48,26,69,48,26,307,362
25℃,100%,3级,多云,16,48,26,68,48,26,307,362
25℃,100%,3级,多云,16,48,26,68,48,26,306,356
25℃,100%,2级,多云,16,48,25,69,48,25,305,369
25℃,100%,2级,多云,15,49,25,69,49,25,307,354
25℃,100%,2级,多云,15,49,25,72,49,25,307,354
26℃,100%,3级,多云,16,49,25,75,49,25,308,348
26℃,100%,3级,阴,16,49,25,75,49,25,308,348
26℃,100%,3级,阴,0,0,0,0,0,0,0,0
26℃,100%,2级,阴,0,0,0,0,0,0,0,0
26℃,100%,3级,阴,0,0,0,0,0,0,0,0
26℃,100%,2级,阴,0,0,0,0,0,0,0,0
31℃,81%,2级,多云,0,0,0,0,0,0,0,0
32℃,78%,2级,多云,0,0,0,0,0,0,0,0
31℃,78%,2级,多云,0,0,0,0,0,0,0,0
32℃,77%,2级,多云,0,0,0,0,0,0,0,0
32℃,74%,3级,多云,0,0,0,0,0,0,0,0
33℃,71%,2级,多云,0,0,0,0,0,0,0,0
33℃,69%,3级,多云,0,0,0,0,0,0,0,0
32℃,72%,2级,多云,0,0,0,0,0,0,0,0
32℃,73%,3级,多云,0,0,0,0,0,0,0,0
31℃,75%,4级,晴,0,0,0,0,0,0,0,0
31℃,76%,3级,晴,0,0,0,0,0,0,0,0
30℃,79%,3级,晴,0,0,0,0,0,0,0,0
29℃,83%,3级,晴,0,0,0,0,0,0,0,0
29℃,88%,3级,晴,21,51,25,93,51,25,547,798
28℃,91%,3级,晴,17,49,25,76,49,25,455,464
28℃,91%,3级,晴,17,49,25,76,49,25,455,464
28℃,92%,3级,晴,17,46,25,72,46,25,449,405
27℃,95%,2级,晴,17,46,24,70,46,24,467,392
27℃,95%,3级,晴,17,47,24,70,47,24,467,392
27℃,95%,3级,晴,16,46,26,70,46,26,468,380
27℃,95%,3级,晴,16,47,26,71,47,26,468,374
27℃,94%,2级,多云,16,47,26,71,47,26,468,374
27℃,96%,2级,多云,16,48,25,74,48,25,470,363
27℃,97%,2级,多云,16,48,25,74,48,25,470,363
26℃,97%,3级,多云,17,49,25,73,49,25,467,352
26℃,98%,3级,多云,16,50,25,72,50,25,301,313
26℃,99%,3级,多云,16,50,25,72,50,25,301,313
26℃,100%,3级,多云,17,50,25,72,50,25,303,321
25℃,100%,3级,多云,16,50,25,69,50,25,302,323
25℃,100%,2级,多云,16,50,25,69,50,25,302,323
25℃,100%,2级,多云,17,51,26,69,51,26,302,325
25℃,100%,2级,多云,16,49,26,69,49,26,306,329
25℃,100%,3级,多云,16,49,26,69,49,26,306,329
25℃,100%,2级,多云,15,49,25,72,49,25,302,329
24℃,100%,2级,阴,15,49,25,72,49,25,302,329
24℃,100%,3级,阴,0,0,0,0,0,0,0,0
25℃,100%,2级,阴,0,0,0,0,0,0,0,0
25℃,100%,2级,阴,0,0,0,0,0,0,0,0
26℃,100%,2级,阴,0,0,0,0,0,0,0,0
27℃,96%,2级,阴,0,0,0,0,0,0,0,0
28℃,92%,2级,阴,0,0,0,0,0,0,0,0
28℃,89%,2级,阴,0,0,0,0,0,0,0,0
28℃,93%,2级,阴,0,0,0,0,0,0,0,0
30℃,87%,2级,阴,0,0,0,0,0,0,0,0
30℃,85%,1级,多云,0,0,0,0,0,0,0,0
31℃,82%,1级,多云,0,0,0,0,0,0,0,0
32℃,77%,1级,多云,0,0,0,0,0,0,0,0
32℃,71%,2级,多云,0,0,0,0,0,0,0,0
33℃,70%,2级,多云,0,0,0,0,0,0,0,0
33℃,67%,1级,多云,0,0,0,0,0,0,0,0
33℃,69%,2级,多云,0,0,0,0,0,0,0,0
32℃,70%,2级,多云,0,0,0,0,0,0,0,0
33℃,67%,2级,多云,0,0,0,0,0,0,0,0
32℃,70%,2级,多云,0,0,0,0,0,0,0,0
32℃,71%,3级,多云,0,0,0,0,0,0,0,0
32℃,72%,2级,多云,0,0,0,0,0,0,0,0
31℃,75%,3级,多云,0,0,0,0,0,0,0,0
31℃,77%,3级,多云,0,0,0,0,0,0,0,0
31℃,76%,3级,多云,0,0,0,0,0,0,0,0
30℃,80%,3级,多云,0,0,0,0,0,0,0,0
29℃,84%,2级,多云,21,52,25,89,52,25,575,781
29℃,88%,3级,多云,21,48,25,89,48,25,575,781
29℃,89%,3级,雨,18,48,25,75,48,25,453,443
28℃,91%,3级,雨,17,47,24,73,47,24,453,412
28℃,92%,3级,雨,16,48,25,71,48,25,453,412
27℃,93%,3级,雨,16,48,25,71,48,25,466,372
27℃,94%,3级,雨,17,47,25,71,47,25,466,361
27℃,95%,3级,雨,17,47,26,71,47,26,466,361
27℃,95%,3级,多云,17,47,26,74,47,26,474,348
26℃,95%,1级,多云,17,50,25,72,50,25,469,300
26℃,96%,2级,多云,17,50,25,72,50,25,469,300
26℃,98%,2级,多云,16,49,25,73,49,25,470,319
26℃,99%,2级,多云,17,49,25,73,49,25,295,308
26℃,98%,2级,多云,17,49,25,73,49,25,295,308
26℃,99%,2级,多云,16,49,25,71,49,25,299,302
26℃,100%,2级,多云,16,51,26,72,51,26,299,294
26℃,100%,2级,多云,16,51,26,72,51,26,299,294
25℃,100%,3级,多云,15,50,26,72,50,26,299,274
25℃,100%,3级,多云,15,50,26,72,50,26,299,274
25℃,100%,2级,多云,16,48,25,72,48,25,298,270
25℃,100%,3级,多云,16,49,25,73,49,25,302,271
25℃,100%,2级,多云,16,49,25,73,49,25,302,271
25℃,100%,2级,多云,0,0,0,0,0,0,0,0
25℃,100%,2级,多云,0,0,0,0,0,0,0,0
25℃,100%,2级,多云,0,0,0,0,0,0,0,0
25℃,100%,3级,多云,0,0,0,0,0,0,0,0
26℃,100%,2级,多云,0,0,0,0,0,0,0,0
26℃,100%,2级,多云,0,0,0,0,0,0,0,0
27℃,96%,2级,多云,0,0,0,0,0,0,0,0
28℃,92%,2级,多云,0,0,0,0,0,0,0,0
30℃,87%,2级,多云,0,0,0,0,0,0,0,0
30℃,82%,2级,阴,0,0,0,0,0,0,0,0
31℃,79%,2级,阴,0,0,0,0,0,0,0,0
32℃,72%,1级,阴,0,0,0,0,0,0,0,0
32℃,66%,3级,阴,0,0,0,0,0,0,0,0
33℃,66%,2级,阴,0,0,0,0,0,0,0,0
33℃,67%,2级,阴,0,0,0,0,0,0,0,0
32℃,62%,3级,阴,0,0,0,0,0,0,0,0
33℃,60%,3级,阴,0,0,0,0,0,0,0,0
34℃,62%,2级,阴,0,0,0,0,0,0,0,0
33℃,64%,2级,阴,0,0,0,0,0,0,0,0
33℃,64%,3级,阴,0,0,0,0,0,0,0,0
32℃,67%,4级,阴,0,0,0,0,0,0,0,0
32℃,68%,4级,多云,0,0,0,0,0,0,0,0
31℃,71%,4级,多云,0,0,0,0,0,0,0,0
30℃,75%,4级,多云,0,0,0,0,0,0,0,0
29℃,80%,4级,多云,0,0,0,0,0,0,0,0
28℃,86%,3级,多云,21,53,26,90,53,26,561,715
27℃,87%,4级,多云,17,50,26,79,50,26,445,442
27℃,91%,4级,阴,17,50,25,79,50,25,445,442
27℃,94%,4级,阴,16,48,25,75,48,25,460,395
26℃,96%,4级,阴,17,48,25,73,48,25,463,363
26℃,98%,3级,阴,17,48,25,73,48,25,463,363
26℃,99%,3级,阴,15,47,26,71,47,26,464,329
26℃,99%,2级,阴,16,49,26,80,49,26,468,291
25℃,100%,3级,多云,16,49,26,80,49,26,468,291
25℃,100%,3级,多云,15,49,25,69,49,25,460,293
25℃,100%,3级,多云,15,49,25,67,49,25,462,270
25℃,100%,2级,多云,15,51,26,67,51,26,458,274
25℃,100%,3级,多云,17,51,25,68,51,25,458,274
25℃,100%,3级,多云,17,51,25,68,51,25,293,275
25℃,100%,3级,多云,16,50,25,68,50,25,287,278
25℃,100%,2级,多云,16,50,25,71,50,25,294,265
25℃,100%,3级,多云,16,50,25,71,50,25,294,265
25℃,100%,3级,多云,15,49,26,71,49,26,295,260
25℃,100%,2级,多云,15,50,25,71,50,25,297,263
25℃,100%,2级,多云,15,50,25,71,50,25,297,263
25℃,100%,2级,多云,15,49,25,68,49,25,297,257
25℃,100%,2级,多云,0,0,0,0,0,0,0,0
25℃,100%,2级,多云,0,0,0,0,0,0,0,0
25℃,100%,2级,多云,0,0,0,0,0,0,0,0
26℃,100%,2级,多云,0,0,0,0,0,0,0,0
26℃,98%,3级,多云,0,0,0,0,0,0,0,0
27℃,95%,2级,多云,0,0,0,0,0,0,0,0
28℃,93%,2级,多云,0,0,0,0,0,0,0,0
